"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"FC","2020-07-31",80.7,-2.02,5.85,"Yu Darvish",502481,506433,"null","called_strike",NA,NA,NA,NA,6,"null","R","L","R","CHC","PIT","S","null","null",0,0,2020,0.4,-0.4,0.39,2.46,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,605170,NA,"null",4.63110539946557,-117.557789935398,-0.215538251300518,2.77793776351902,20.1472795463908,-35.9819543295693,3.28,1.4,NA,NA,NA,81.3,2617,6.4,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.02,"null","null","null","null","null","null","null",43,1,"Cutter",4,0,0,4,0,4,0,4,"Strategic","Strategic",NA
"SL","2020-07-31",81.6,-2.15,5.67,"Yu Darvish",607732,506433,"field_out","hit_into_play",NA,NA,NA,NA,14,"Jacob Stallings grounds out, shortstop Javier Baez to first baseman Anthony Rizzo.  ","R","R","R","CHC","PIT","X","6","ground_ball",2,2,2020,1.5,-0.4,1.02,1.88,NA,657061,NA,2,5,"Top",107.4,154.12,NA,NA,605170,NA,"null",4.29639036204217,-118.799852821371,-1.04536648429839,13.1147178395029,24.7490976730547,-36.3480909162396,3.58,1.68,10,69.1,-13,81.7,2982,6.5,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.15,"0.071","0.064","0.00","1","0","0","2",35,5,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",0
"SL","2020-07-31",82.6,-2.31,5.61,"Yu Darvish",607732,506433,"null","ball",NA,NA,NA,NA,14,"null","R","R","R","CHC","PIT","B","null","null",1,2,2020,1.4,-0.3,0.82,1.14,NA,657061,NA,2,5,"Top",NA,NA,NA,NA,605170,NA,"null",4.42653093863702,-120.215542060686,-3.03611535005402,12.6402606702793,23.6986650114407,-34.9680214329512,3.05,1.4,NA,NA,NA,82.9,2953,6.5,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.31,"null","null","null","null","null","null","null",35,4,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",NA
"FF","2020-07-31",96.7,-2.11,5.61,"Yu Darvish",607732,506433,"null","ball",NA,NA,NA,NA,13,"null","R","R","R","CHC","PIT","B","null","null",0,2,2020,-0.5,1.4,-0.13,0.98,NA,NA,657061,2,5,"Top",NA,NA,NA,NA,605170,NA,"null",6.55832498575433,-140.396664132364,-10.1759841403471,-8.55560720168338,29.0965038496653,-11.0438902241268,3.1,1.45,NA,NA,NA,97.9,2706,6.9,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.11,"null","null","null","null","null","null","null",35,3,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",NA
"FC","2020-07-31",88.7,-1.94,5.83,"Yu Darvish",607732,506433,"null","called_strike",NA,NA,NA,NA,8,"null","R","R","R","CHC","PIT","S","null","null",0,1,2020,0.5,0.1,-0.12,1.49,NA,NA,657061,2,5,"Top",NA,NA,NA,NA,605170,NA,"null",3.38681243384661,-129.241848238517,-4.77146372356539,5.33131327988842,23.3961180510515,-30.8723435085369,3.07,1.35,NA,NA,NA,89.8,2917,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.94,"null","null","null","null","null","null","null",35,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",NA
"FC","2020-07-31",86.9,-1.92,5.7,"Yu Darvish",607732,506433,"null","called_strike",NA,NA,NA,NA,1,"null","R","R","R","CHC","PIT","S","null","null",0,0,2020,0.7,0.1,-0.61,2.64,NA,NA,657061,2,5,"Top",NA,NA,NA,NA,605170,NA,"null",1.78015847125743,-126.796035314588,-1.44845831155673,7.0828441471147,21.5174698808808,-31.2834259298466,3.14,1.47,NA,NA,NA,88.2,2824,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.92,"null","null","null","null","null","null","null",35,1,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",NA
"FC","2020-07-31",83.7,-2.02,5.56,"Yu Darvish",657061,506433,"single","hit_into_play_no_out",NA,NA,NA,NA,6,"Cole Tucker singles on a line drive to center fielder Ian Happ.  ","R","L","R","CHC","PIT","X","8","line_drive",1,0,2020,0.4,-0.4,0.59,2.3,NA,NA,NA,2,5,"Top",136.98,92.29,NA,NA,605170,NA,"null",5.26523560885089,-121.894246073666,-0.430300857108764,3.14059008280475,22.7140519604745,-35.866813806981,3.49,1.6,258,78.9,25,84.6,2700,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.02,"0.550","0.495","0.90","1","1","0","4",34,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",0
"CU","2020-07-31",75.1,-1.84,5.7,"Yu Darvish",657061,506433,"null","ball",NA,NA,NA,NA,13,"null","R","L","R","CHC","PIT","B","null","null",0,0,2020,0.6,-1.3,-0.43,1.24,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,605170,NA,"null",1.79192752485411,-109.364861157972,0.273374639590685,4.84916165229428,20.4390619850114,-42.8199435128538,3.3,1.54,NA,NA,NA,75.6,2712,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.84,"null","null","null","null","null","null","null",34,1,"Curveball",2,0,0,2,0,2,0,2,"Standard","Standard",NA
"KC","2020-07-31",80.6,-1.97,5.59,"Yu Darvish",570256,506433,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Gregory Polanco strikes out swinging.  ","R","L","R","CHC","PIT","S","2","null",1,2,2020,0.7,-1.1,0.91,1.04,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,605170,NA,"null",5.20459951144605,-117.376486628897,-1.36755156272621,5.07523563546621,22.5892264219296,-42.2220299731228,3.58,1.68,NA,NA,NA,81.4,2720,6.8,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.97,"null","null","0.00","1","0","0","null",33,4,"Knuckle Curve",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"CU","2020-07-31",76.4,-1.93,5.68,"Yu Darvish",570256,506433,"null","swinging_strike",NA,NA,NA,NA,4,"null","R","L","R","CHC","PIT","S","null","null",1,1,2020,0.9,-1,-0.3,2.59,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,605170,NA,"null",1.80112360317682,-111.202438167112,2.45297527822593,7.20756240453427,20.348257892382,-41.5356629170258,3.58,1.68,NA,NA,NA,77,2760,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.93,"null","null","null","null","null","null","null",33,3,"Curveball",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"FC","2020-07-31",84,-2.18,5.65,"Yu Darvish",570256,506433,"null","swinging_strike",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","S","null","null",1,0,2020,0.5,-0.3,0.93,1.66,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,605170,NA,"null",6.25475559127476,-122.308105609072,-2.41417686597486,4.07586968672805,20.4402715002578,-34.7356061549064,3.58,1.68,NA,NA,NA,85.2,2766,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.18,"null","null","null","null","null","null","null",33,2,"Cutter",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"FC","2020-07-31",91.5,-2.1,5.61,"Yu Darvish",570256,506433,"null","ball",NA,NA,NA,NA,13,"null","R","L","R","CHC","PIT","B","null","null",0,0,2020,0.1,1.2,-0.19,1.11,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,605170,NA,"null",4.52387743115333,-133.116675900572,-8.11157758512303,0.985238539878462,24.0453684945733,-16.9720613963843,3.85,1.9,NA,NA,NA,92.9,1722,6.8,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.1,"null","null","null","null","null","null","null",33,1,"Cutter",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"FC","2020-07-31",87.4,-2.07,5.78,"Yu Darvish",668804,506433,"field_out","hit_into_play",NA,NA,NA,NA,14,"Bryan Reynolds lines out to right fielder Jason Heyward.  ","R","L","R","CHC","PIT","X","9","line_drive",1,2,2020,0.8,0,1.03,1.82,NA,NA,NA,0,5,"Top",210.93,88.43,NA,NA,605170,NA,"null",5.94448978194086,-127.319926261114,-3.43660954137258,7.18400957568011,22.70070020285,-32.0782050512998,3.49,1.6,329,82.4,28,88.2,3396,6.4,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.07,"0.121","0.109","0.00","1","0","0","3",32,4,"Cutter",2,0,0,2,0,2,0,2,"Infield shift","Standard",0
"FF","2020-07-31",96.2,-2.2,5.72,"Yu Darvish",668804,506433,"null","ball",NA,NA,NA,NA,11,"null","R","L","R","CHC","PIT","B","null","null",0,2,2020,-0.5,1.3,-0.38,3.85,NA,NA,NA,0,5,"Top",NA,NA,NA,NA,605170,NA,"null",6.05741716088498,-139.979847326185,-2.38187998420222,-8.22967271848788,30.1833617822534,-14.6159565667021,3.27,1.6,NA,NA,NA,96.8,2654,6.5,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.2,"null","null","null","null","null","null","null",32,3,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"FC","2020-07-31",92,-2.03,5.63,"Yu Darvish",668804,506433,"null","swinging_strike",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","S","null","null",0,1,2020,0.3,1.2,0.91,2.02,NA,NA,NA,0,5,"Top",NA,NA,NA,NA,605170,NA,"null",6.96043685112995,-133.759861723762,-5.97121868839564,1.55776459445477,28.5372043781639,-16.6825045204337,3.49,1.6,NA,NA,NA,92.8,2725,6.8,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.03,"null","null","null","null","null","null","null",32,2,"Cutter",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"SL","2020-07-31",77.7,-2.13,5.72,"Yu Darvish",668804,506433,"null","called_strike",NA,NA,NA,NA,8,"null","R","L","R","CHC","PIT","S","null","null",0,0,2020,1.5,0,-0.25,1.48,NA,NA,NA,0,5,"Top",NA,NA,NA,NA,605170,NA,"null",1.25290957026855,-113.186551256673,-2.15351783768389,12.808570016547,20.6621845574669,-32.1647241274423,3.21,1.49,NA,NA,NA,78,2716,6.5,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.13,"null","null","null","null","null","null","null",32,1,"Slider",2,0,0,2,0,2,0,2,"Infield shift","Standard",NA
"FF","2020-07-31",97.7,-2.2,5.59,"Yu Darvish",592567,506433,"strikeout","called_strike",NA,NA,NA,NA,6,"Colin Moran called out on strikes.  ","R","L","R","CHC","PIT","S","2","null",2,2,2020,-0.7,1.4,0.59,2.83,NA,NA,NA,2,4,"Top",NA,NA,NA,NA,605170,NA,"null",9.19070653214154,-141.92264966457,-5.19969863855883,-11.6101686264294,33.1261818029591,-12.0901517852349,3.64,1.74,NA,NA,NA,98.2,2625,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.2,"null","null","0.00","1","0","0","null",27,6,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
